LSOAN05CD,LSOAN05NM,FID
95VV03W1,Bessbrook,747
95WW10S1,Cloughfern 1,748
95VV04W1,Binnian,749
95WW10S2,Cloughfern 2,750
95VV05S1,Burren and Kilbroney 1,751
95WW11S1,Collinbridge 1,752
95VV05S2,Burren and Kilbroney 2,753
95WW11S2,Collinbridge 2,754
95VV06W1,Camlough,755
95WW12W1,Coole,756
95VV07S1,Clonallan 1,757
95WW13S1,Doagh 1,758
95VV07S2,Clonallan 2,759
95WW13S2,Doagh 2,760
95VV08W1,Creggan,761
95WW14W1,Dunanney,762
95VV09W1,Crossmaglen,763
95WW15S1,Glebe 1 Newtownabbey,764
95VV10S1,Daisy hill 1,765
95WW15S2,Glebe 2 Newtownabbey,766
95VV10S2,Daisy hill 2,767
95WW16S1,Glengormley 1,768
95VV11S1,Derryleckagh 1,769
95WW16S2,Glengormley 2,770
95VV11S2,Derryleckagh 2,771
95WW17W1,Hawthorne,772
95VV12S1,Derrymore 1,773
95WW18W1,Hightown,774
95VV12S2,Derrymore 2,775
95WW19S1,Jordanstown 1,776
95VV13S1,Donaghmore 1,777
95WW19S2,Jordanstown 2,778
95VV13S2,Donaghmore 2,779
95WW19S3,Jordanstown 3,780
95VV14S1,Drumalane 1,781
95WW20S1,Mallusk 1,782
95VV14S2,Drumalane 2,783
95WW20S2,Mallusk 2,784
95VV15S1,Drumgullion 1,785
95WW20S3,Mallusk 3,786
95VV15S2,Drumgullion 2,787
95WW21S1,Monkstown 1,788
95VV16W1,Fathom,789
95VV17S1,Forkhill 1,790
95VV17S2,Forkhill 2,791
95VV18S1,Kilkeel Central 1,792
95VV18S2,Kilkeel Central 2,793
95VV19S1,Kilkeel South 1,794
95VV19S2,Kilkeel South 2,795
95VV20W1,Lisnacree,796
95VV21S1,Mayobridge 1,797
95VV21S2,Mayobridge 2,798
95VV22W1,Newtownhamilton,799
95VV23W1,Rostrevor,800
95WW21S2,Monkstown 2,801
95WW22S1,Mossley 1,802
95WW22S2,Mossley 2,803
95WW23S1,Rostulla 1,804
95WW23S2,Rostulla 2,805
95WW24S1,Valley 1,806
95WW24S2,Valley 2,807
95WW25W1,Whitehouse,808
95XX01S1,Ballycrochan 1,809
95XX01S2,Ballycrochan 2,810
95XX01S3,Ballycrochan 3,811
95XX02W1,Ballyholme,812
95XX03S1,Ballymaconnell 1,813
95XX03S2,Ballymaconnell 2,814
95XX04S1,Ballymagee 1,815
95XX04S2,Ballymagee 2,816
95XX05W1,Bangor Castle,817
95XX06S1,Bloomfield 1 NorthDown,818
95XX06S2,Bloomfield 2 NorthDown,819
95XX07S1,Broadway 1,820
95XX07S2,Broadway 2,821
95XX08S1,Bryansburn 1,822
